,sentence,difficulty
0,Ça représentait un serpent boa qui avalait un fauve.,B2
1,Voilà la copie du dessin.,A1
2,"On disait dans le livre :""Les serpents boas avalent leur proie tout entière, sans la mâcher.",B1
3,"Ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion.""",B1
4,"J'ai alors beaucoup réfléchi sur les aventures de la jungle et, à mon tour, j'ai réussi, avec un crayon de couleur, à tracer mon premier dessin.",A2
5,"Mon dessin numéro i. Il était comme ça :

J'ai montré mon chef-d'oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur.",A2
6,"Elles m'ont répondu :""Pourquoi un chapeau ferait-il peur ?""",A2
7,Mon dessin ne représentait pas un chapeau.,A2
8,Il représentait un serpent boa qui digérait un éléphant.,B2
9,"J'ai alors dessiné l'intérieur du serpent boa, afin que les grandes personnes puissent comprendre.",B1
10,Elles ont toujours besoin d'explications.,A2
11,"Mon dessin numéro 2 était comme ça:

Les grandes personnes m'ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés, et de m'intéresser plutôt à la géographie, à l'histoire, au calcul et à la grammaire.",B2
12,"C'est ainsi que j'ai abandonné, à l'âge de six ans, une magnifique carrière de peintre.",B1
13,J'avais été découragé par l'insuccès de mon dessin numéro i et de mon dessin numéro 2.,C2
14,"Les grandes personnes ne comprennent jamais rien toutes seules, et c'est fatigant, pour les enfants, de toujours et toujours leur donner des explications.",B1
15,J'ai donc dû choisir un autre métier et j'ai appris à piloter des avions.,A2
16,J'ai volé un peu partout dans le monde.,A2
17,"Et la géographie, c'est exact, m'a beaucoup servi.",A2
18,"Je savais reconnaître, du premier coup d'oeil la Chine de l'Arizona.",B2
19,"C'est très utile, si l'on est égaré pendant la nuit.",A2
20,"J'ai ainsi eu, au cours de ma vie, des tas de contacts avec des tas de gens sérieux.",A2
21,J'ai beaucoup vécu chez les grandes personnes.,A2
22,Je les ai vues de très près.,A2
23,Ça n'a pas trop amélioré mon opinion.,A2
24,"Quand j'en rencontrais une qui me paraissait un peu lucide, je faisais l'expérience sur elle de mon dessin numéro i que j'ai toujours conservé.",B2
25,Je voulais savoir si elle était vraiment compréhensive.,B1
26,"Mais toujours elle me répondait :""C'e§t un chapeau.",B1
27,"""Alors je ne lui parlais ni de serpents boas, ni de forêts vierges, ni d'étoiles.",B1
28,Je me mettais à sa portée.,A2
29,"Je lui parlais de bridge, de golf, de politique et de cravates.",B1
30,Et la grande personne était bien contente de connaître un homme aussi raisonnable.,A2
31,Quelque chose s'était cassée dans mon moteur.,A2
32,"Et comme je n'avais avec moi ni mécanicien, ni passagers, je me préparai à essayer de réussir, tout seul, une réparation difficile.",B2
33,C'était pour moi une question de vie ou de mort.,A2
34,"J'avais à peine de l'eau à boire pour huit jours,

Le premier soir je me suis donc endormi sur le sable à mille milles de toute terre habitée.",B1
35,J'étais bien plus isolé qu'un naufragé sur un radeau au milieu de l'Océan.,B1
36,"Alors vous imaginez ma surprise, au lever du jour, quand une drôle de petite voix m'a réveillé.",A2
37,"Elle disait :

- S'il vous plaît... dessine-moi un mouton !",A2
